台積電,23667
台股,7735
指數,6588
AI,4569
上漲,4547
股價,4479
美元,4315
美國,4153
市場,3870
半導體,3813
外資,3360
營收,3226
表示,3052
下跌,2971
晶片,2898
公司,2896
台灣,2711
奈米,2574
製程,2517
法人,2486
預期,2423
投資,2265
美股,2229
表現,2215
漲幅,2210
今年,2205
2330,2198
今天,2163
10,2160
ADR,2146
買超,2134
持續,2125
新高,2124
產業,1970
需求,1968
輝達,1943
指出,1889
技術,1855
大漲,1768
早盤,1745
成長,1742
先進,1729
目前,1715
報導,1669
台北,1660
全球,1643
可能,1550
鴻海,1546
影響,1525
日本,1470
超過,1433
其中,1413
族群,1406
客戶,1406
晶圓,1405
終場,1389
記者,1385
新台幣,1371
去年,1367
2024年,1365
震盪,1337
聯發科,1333
帶動,1333
來到,1329
今日,1305
跌幅,1278
未來,1273
類股,1267
電子,1250
相關,1231
不過,1215
開盤,1201
交易,1158
產能,1156
股市,1131
以及,1131
公布,1109
歷史,1101
認為,1085
主要,1064
增加,1051
收在,1042
英特爾,1042
股票,1029
包括,1018
蘋果,1008
金額,1006
加上,1000
代工,995
科技,994
大盤,991
2023年,989
營運,973
方面,962
投信,949
市值,931
投資人,930
獲利,927
企業,927
中央社,921
